uids,body,title,url,newspaper,host,n_tokens_body,n_tokens_title
9cf2194d8e19bf30950cec6177991558,"El fin de una era llegó: Claire Williams anunció su retiro al frente de la escudería familiar de la Fórmula 1, luego de que ésta fuera comprada por el fondo estadounidense de inversiones Dorilton Capital. ","
¡El fin de una era! Claire Williams se despide y deja la escudería familiar de la F1
",https://www.elsoldemexico.com.mx/deportes/automotriz/el-fin-de-una-era-claire-williams-se-despide-deja-la-escuderia-familiar-f1-formula-1-dorilton-capital-5712784.html,elsol,www.elsoldemexico.com.mx,18,7
4d480bd0bf36506c737a52e82196da02,"Los casos de coronavirus continúan en el futbol mexicano y esta vez el afectado es Puebla, club que confirmó seis contagios.","
Puebla confirma 6 casos de Covid-19 previo a partido ante Pumas
",https://www.elsoldemexico.com.mx/deportes/futbol/puebla-6-casos-covid-19-previo-partido-pumas-liga-mx-guard1anes-2020-5717048.html,elsol,www.elsoldemexico.com.mx,12,6
bb97318319d261549317d3bda57dc8c8,"Los seguidores del argentino Lionel Messi pueden dar un profundo suspiro y comenzar a festejar, pues el delantero confirmó este viernes que para evitar un juicio con el Barcelona se quedará hasta concluirlo.","
¡Es oficial! Messi confirma que se queda con el Barcelona ",https://www.elsoldemexico.com.mx/deportes/futbol/lionel-messi-confirma-que-se-queda-con-el-barcelona-5715312.html,elsol,www.elsoldemexico.com.mx,19,5
efcb63666791fdad8e607e855be96bbd,"El estudio publicado por la revista médica The Lancet indica que no hubo efectos secundarios graves en los participantes tras los ensayos clínicos","
Covid-19, avances científicos y recomendaciones de la OMS y la ciencia
",https://www.elsoldemexico.com.mx/doble-via/salud/covid-19-avances-cientificos-y-recomendaciones-de-la-oms-y-la-ciencia-5487835.html,elsol,www.elsoldemexico.com.mx,14,5
87df2103003a10575c95d8b84340ef91,"El gigante mexicano de telecomunicaciones América Móvil dijo el jueves que, de común acuerdo, dio por terminado el contrato para comprar 99.3 por ciento de las acciones de Telefónica Móviles El Salvador, tras evaluar conjuntamente las condiciones impuestas para lograr la aprobación requerida por el regulador de competencia.","
Carlos Slim cancela compra de Movistar en El Salvador
",https://www.elsoldemexico.com.mx/finanzas/carlos-slim-cancela-compra-de-movistar-en-el-salvador-america-movil-telefonia-5714435.html,elsol,www.elsoldemexico.com.mx,28,6
a674a3792e894eff8d63796dd1a31a31,"Bien podría decirse en lenguaje militar, que el informe que leyó el Ejecutivo Federal en palacio nacional, se asemeja, cuando un superior le pide a un soldado, le comunique el parte de su guardia, y le contesta sin novedad. En efecto, nada de nada, un simple resumen de las mañaneras.","
Antena | Choque entre modelos de comunicación
",https://www.elsoldemexico.com.mx/analisis/antena-choque-entre-modelos-de-comunicacion-5714245.html,elsol,www.elsoldemexico.com.mx,22,4
46f1f31af0b895b6a12a5db5ca9bb131,"Una miniserie contará por primera vez la vida y las intimidades del ídolo brasileño y tres veces campeón de la Fórmula Uno Ayrton Senna, y el público podrá disfrutarla en 2022 en Netflix, anunciaron este jueves sus productores y la familia del piloto.","
Netflix anuncia miniserie de la vida de Ayrton Senna, tricampeón de la F1 ",https://www.elsoldemexico.com.mx/deportes/netflix-anuncia-miniserie-de-la-vida-de-ayrton-senna-tricampeon-de-la-f1-5711522.html,elsol,www.elsoldemexico.com.mx,23,7
5035d9733273213c78e65c8815cdf9ef,"Una buena noticia en medio de toda la polémica por la salida de Lionel Messi del Barcelona, puesto que su padre y representante, Jorge Messi, confirmó que existe la posibilidad de que el delantero se quede un año más con el equipo y así cumpla con su contrato firmado hasta 2021.","
Jorge Messi confirma que Leo podría concluir contrato con el Barcelona ",https://www.elsoldemexico.com.mx/deportes/futbol/jorge-messi-confirma-que-leo-podria-concluir-contrato-con-el-barcelona-5709946.html,elsol,www.elsoldemexico.com.mx,25,8
418d40b4f94ca58d63b7f5112be280f9,"","
Se reactivará turismo conforme disminuya pandemia: AMLO
",https://www.elsoldemexico.com.mx/finanzas/se-reactivara-turismo-conforme-disminuya-pandemia-amlo-conferencia-matutina-presidente-covid19-coronavirus-5715175.html,elsol,www.elsoldemexico.com.mx,0,6
a5ea12687b9a188ddd288109157d47b3,"El brasileño Neymar y los argentinos Ángel Di María y Leandro Paredes son los tres jugadores del París Saint-Germain que han dado positivo por coronavirus, informó este miércoles el diario deportivo francés L'Equipe.","
Neymar, Di María y Paredes dan positivo a Covid-19
",https://www.elsoldemexico.com.mx/deportes/futbol/neymar-di-maria-y-paredes-dan-positivo-a-covid-19-psg-paris-saint-germain-coronavirus-bayern-de-munich-champions-league-coronavirus-pandemia-epidemia-5704029.html,elsol,www.elsoldemexico.com.mx,19,6
fbf3bc689d7cf0e9d1397cc595b40461,"El Ejército libanés inauguró un monumento en el puerto junto con algunos familiares de las víctimas llamado ""Lealtad a Beirut""","
Lo que sabemos de la explosión en puerto de Beirut, Líbano
",https://www.elsoldemexico.com.mx/mundo/lo-que-sabemos-de-la-explosion-en-puerto-de-beirut-libano-5580760.html,elsol,www.elsoldemexico.com.mx,11,5
